"practiceID","Order","Group","GroupOrder","Height","Identifier","IDchr"
"1",1,"A",1,33.6619452898576,NA,""
"1",2,"A",2,75,"Value1","▲"
"1",3,"A",3,35,"Value2","●"
"1",4,"A",4,10.9443994114244,NA,""
"1",5,"A",5,10.2592777726631,NA,""
"1",6,"B",1,34.303975255974,NA,""
"1",7,"B",2,14.4969837413483,NA,""
"1",8,"B",3,47.002727243958,NA,""
"1",9,"B",4,18.6637324830927,NA,""
"1",10,"B",5,45.4902343588371,NA,""
"2",1,"A",1,40.4495169809958,NA,""
"2",2,"A",2,50,"Value2","●"
"2",3,"A",3,51.4249423493145,NA,""
"2",4,"A",4,24.394641298268,NA,""
"2",5,"A",5,39.541538410958,NA,""
"2",6,"B",1,11.7737835788075,NA,""
"2",7,"B",2,40,"Value1","▲"
"2",8,"B",3,47.0332013876503,NA,""
"2",9,"B",4,62.1026334634377,NA,""
"2",10,"B",5,33.2678460292714,NA,""
"3",1,"A",1,71.5390738810568,NA,""
"3",2,"A",2,10,"Value2","●"
"3",3,"A",3,60,"Value1","▲"
"3",4,"A",4,36.0783725257909,NA,""
"3",5,"A",5,44.5061789934764,NA,""
"3",6,"B",1,34.9996787155684,NA,""
"3",7,"B",2,24.1589048951915,NA,""
"3",8,"B",3,60.2220947206842,NA,""
"3",9,"B",4,52.4186001766584,NA,""
"3",10,"B",5,31.8486847859423,NA,""
